epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2223.6,1.93379,1.36003,1.67579,0.70334,0.54347,0.62147,0.31751,1.80342,1.36134,1.70057,0.0011882,0.0011882,0.0011882
43,2275.06,1.92654,1.37541,1.71281,0.65706,0.55589,0.62006,0.31454,1.78109,1.37527,1.69617,0.0011684,0.0011684,0.0011684
44,2326.81,1.92058,1.35708,1.69724,0.63959,0.51099,0.57231,0.28612,1.81788,1.4503,1.70398,0.0011486,0.0011486,0.0011486
45,2379.75,1.92682,1.35042,1.67811,0.68552,0.54241,0.61581,0.31892,1.77229,1.33457,1.69849,0.0011288,0.0011288,0.0011288
46,2434.04,1.87821,1.38,1.67434,0.65568,0.54371,0.61234,0.3013,1.81018,1.39036,1.72753,0.001109,0.001109,0.001109
47,2489.09,1.94136,1.35087,1.68575,0.61416,0.54067,0.57188,0.28272,1.81014,1.42363,1.69259,0.0010892,0.0010892,0.0010892
48,2547.38,1.90152,1.33398,1.67347,0.6776,0.56198,0.62664,0.3253,1.75156,1.34874,1.6585,0.0010694,0.0010694,0.0010694
49,2601.49,1.8839,1.32747,1.67938,0.65426,0.52849,0.59829,0.30645,1.78808,1.34834,1.68646,0.0010496,0.0010496,0.0010496
50,2656.16,1.86298,1.28617,1.63475,0.69403,0.56677,0.63994,0.3337,1.73734,1.31164,1.65099,0.0010298,0.0010298,0.0010298
51,2710.79,1.85918,1.32955,1.65986,0.68686,0.55911,0.63258,0.31839,1.78782,1.3403,1.68226,0.00101,0.00101,0.00101
52,2763.24,1.89911,1.32962,1.67047,0.68004,0.55838,0.62702,0.31984,1.78476,1.31712,1.66565,0.0009902,0.0009902,0.0009902
53,2816.1,1.89397,1.30798,1.64549,0.68523,0.56546,0.62949,0.32972,1.7492,1.32622,1.63457,0.0009704,0.0009704,0.0009704
54,2867.46,1.88373,1.30563,1.63528,0.73126,0.55111,0.64946,0.34169,1.73119,1.26822,1.63296,0.0009506,0.0009506,0.0009506
55,2919.08,1.86747,1.27158,1.60873,0.67612,0.55372,0.62174,0.31738,1.762,1.35361,1.63909,0.0009308,0.0009308,0.0009308
56,2970.68,1.83336,1.26572,1.61019,0.71115,0.56677,0.65021,0.33954,1.72522,1.31547,1.61398,0.000911,0.000911,0.000911
57,3022.91,1.82604,1.27157,1.60114,0.69138,0.57242,0.64633,0.33454,1.72851,1.30499,1.63444,0.0008912,0.0008912,0.0008912
58,3074.9,1.85729,1.29659,1.62381,0.6911,0.57634,0.6431,0.33408,1.71915,1.28106,1.62336,0.0008714,0.0008714,0.0008714
59,3126.72,1.85004,1.26321,1.60016,0.69368,0.57524,0.64374,0.32645,1.7665,1.28875,1.65077,0.0008516,0.0008516,0.0008516
60,3178.6,1.85036,1.29259,1.62036,0.70131,0.56633,0.64407,0.3381,1.74597,1.2809,1.63958,0.0008318,0.0008318,0.0008318
61,3231.85,1.80676,1.26821,1.60935,0.69115,0.59852,0.66625,0.35214,1.72446,1.242,1.60947,0.000812,0.000812,0.000812
62,3283.96,1.81126,1.25127,1.58514,0.71115,0.57547,0.66174,0.35251,1.7016,1.24464,1.59362,0.0007922,0.0007922,0.0007922
63,3342.36,1.85305,1.25071,1.60753,0.68089,0.57547,0.64517,0.32614,1.7613,1.27528,1.63181,0.0007724,0.0007724,0.0007724
64,3393.06,1.83438,1.27205,1.61254,0.72734,0.58595,0.66448,0.34621,1.72621,1.26435,1.62023,0.0007526,0.0007526,0.0007526
65,3444.36,1.82389,1.2707,1.59087,0.69547,0.58907,0.65613,0.35089,1.68798,1.25107,1.60644,0.0007328,0.0007328,0.0007328
66,3495.19,1.80298,1.22891,1.57564,0.71633,0.59113,0.67414,0.36081,1.68353,1.19719,1.59602,0.000713,0.000713,0.000713
67,3545.15,1.80534,1.23043,1.58579,0.71546,0.58939,0.66804,0.3626,1.66128,1.23534,1.57934,0.0006932,0.0006932,0.0006932
68,3595.97,1.80431,1.25701,1.59839,0.72516,0.5572,0.6539,0.34706,1.69405,1.24192,1.59977,0.0006734,0.0006734,0.0006734
69,3646.78,1.79478,1.20173,1.56158,0.72414,0.58504,0.66273,0.35525,1.68498,1.22797,1.58936,0.0006536,0.0006536,0.0006536
70,3697.26,1.80202,1.2077,1.58573,0.72231,0.59635,0.67758,0.36715,1.66883,1.19999,1.5863,0.0006338,0.0006338,0.0006338
71,3751.5,1.80044,1.23055,1.59462,0.70014,0.57286,0.6524,0.35298,1.68273,1.25145,1.61224,0.000614,0.000614,0.000614
72,3803.36,1.78866,1.24392,1.59338,0.70819,0.59591,0.67075,0.36184,1.66124,1.21822,1.59296,0.0005942,0.0005942,0.0005942
73,3856.98,1.79693,1.2459,1.60119,0.71766,0.59722,0.67699,0.37027,1.6459,1.19653,1.58192,0.0005744,0.0005744,0.0005744
74,3909.45,1.77155,1.23126,1.56836,0.7139,0.57938,0.66224,0.36366,1.64636,1.20007,1.58121,0.0005546,0.0005546,0.0005546
75,3960.32,1.8114,1.24527,1.59302,0.72229,0.60751,0.68225,0.37032,1.65791,1.18885,1.57764,0.0005348,0.0005348,0.0005348
76,4011.53,1.7935,1.22537,1.58058,0.72936,0.59784,0.68392,0.37244,1.64876,1.18815,1.57586,0.000515,0.000515,0.000515
77,4062.07,1.72906,1.18551,1.54927,0.72801,0.60853,0.68806,0.37262,1.65358,1.19489,1.57201,0.0004952,0.0004952,0.0004952
78,4111.79,1.80485,1.21608,1.57731,0.70818,0.59746,0.67429,0.36087,1.67436,1.21823,1.57684,0.0004754,0.0004754,0.0004754
79,4163.68,1.77659,1.2002,1.56534,0.71663,0.61244,0.68781,0.37541,1.63538,1.17515,1.5558,0.0004556,0.0004556,0.0004556
80,4216.02,1.7661,1.20909,1.56028,0.74377,0.59594,0.68587,0.37187,1.64165,1.18301,1.56182,0.0004358,0.0004358,0.0004358
81,4270.34,1.76315,1.19528,1.54841,0.70988,0.60026,0.67037,0.36109,1.64436,1.23146,1.55137,0.000416,0.000416,0.000416
82,4321.56,1.76592,1.20755,1.55835,0.71366,0.61902,0.68178,0.36894,1.63047,1.2029,1.54602,0.0003962,0.0003962,0.0003962
83,4372.36,1.75808,1.2195,1.57527,0.72448,0.63245,0.70296,0.38346,1.63657,1.15979,1.55662,0.0003764,0.0003764,0.0003764
84,4422.26,1.75251,1.20369,1.57622,0.72615,0.61157,0.69394,0.38755,1.61575,1.16106,1.55187,0.0003566,0.0003566,0.0003566
85,4471.85,1.74328,1.18536,1.53508,0.72796,0.59765,0.68498,0.37253,1.6586,1.17351,1.56887,0.0003368,0.0003368,0.0003368
86,4522.52,1.7646,1.17292,1.56462,0.71974,0.62443,0.69915,0.37998,1.6302,1.16656,1.5465,0.000317,0.000317,0.000317
87,4573.59,1.76969,1.24232,1.58946,0.73176,0.6094,0.69755,0.39018,1.6018,1.15602,1.54603,0.0002972,0.0002972,0.0002972
88,4624.17,1.71742,1.18041,1.53171,0.7274,0.60238,0.68818,0.38598,1.61108,1.16372,1.55582,0.0002774,0.0002774,0.0002774
89,4674.38,1.74836,1.20012,1.5576,0.7269,0.61824,0.6986,0.38377,1.61768,1.15698,1.54518,0.0002576,0.0002576,0.0002576
90,4725.02,1.72491,1.1684,1.54132,0.72002,0.64209,0.70119,0.38786,1.60786,1.15459,1.53447,0.0002378,0.0002378,0.0002378
91,4774.28,1.67936,1.2422,1.52878,0.76211,0.62679,0.71107,0.40033,1.58523,1.12087,1.52774,0.000218,0.000218,0.000218
92,4823.81,1.64824,1.20199,1.52343,0.71533,0.60662,0.69089,0.39046,1.5907,1.16026,1.54141,0.0001982,0.0001982,0.0001982
93,4873.12,1.6399,1.19401,1.51552,0.71688,0.61127,0.69491,0.39485,1.59395,1.16681,1.53991,0.0001784,0.0001784,0.0001784
94,4922.35,1.6431,1.17702,1.51262,0.74209,0.61578,0.69835,0.39119,1.59849,1.14432,1.53203,0.0001586,0.0001586,0.0001586
95,4972.82,1.66339,1.16767,1.53213,0.74366,0.62027,0.70543,0.39542,1.59288,1.1305,1.51818,0.0001388,0.0001388,0.0001388
96,5023.2,1.65144,1.15784,1.50926,0.72946,0.62862,0.70856,0.3993,1.58792,1.13737,1.50925,0.000119,0.000119,0.000119
97,5072.69,1.65038,1.15992,1.49965,0.73043,0.63114,0.70635,0.40315,1.57947,1.12862,1.5063,9.92e-05,9.92e-05,9.92e-05
98,5123.16,1.65306,1.1617,1.50752,0.74314,0.62679,0.71179,0.4067,1.57604,1.11495,1.5086,7.94e-05,7.94e-05,7.94e-05
99,5173.37,1.63363,1.16156,1.5002,0.73942,0.63419,0.71479,0.40797,1.57383,1.11117,1.50802,5.96e-05,5.96e-05,5.96e-05
100,5222.26,1.62565,1.1431,1.49286,0.75224,0.63027,0.71743,0.41027,1.56632,1.10899,1.50353,3.98e-05,3.98e-05,3.98e-05
